1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,A,B,C,D,E,F,G,H,I,J,K
2014-2015,30,66589,6029177,Orange,Magnolia Elementary,Peter Marshall Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,657,395,60.10%,475,72.30%,657,395,60.10%,475,72.30%,Y
2014-2015,30,66589,6029185,Orange,Magnolia Elementary,Robert M. Pyles Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,721,633,87.80%,670,92.90%,709,623,87.90%,659,92.90%,Y
2014-2015,30,66589,6029193,Orange,Magnolia Elementary,Walt Disney Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,671,424,63.20%,496,73.90%,671,424,63.20%,496,73.90%,Y
2014-2015,30,66597,1,Orange,Newport-Mesa Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,20,3,15.00%,3,15.00%,18,2,11.10%,2,11.10%,Y
2014-2015,30,66597,111666,Orange,Newport-Mesa Unified,Early College High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,9,12,249,142,57.00%,174,69.90%,248,141,56.90%,173,69.80%,Y
2014-2015,30,66597,3030186,Orange,Newport-Mesa Unified,Monte Vista High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,9,12,58,13,22.40%,13,22.40%,44,11,25.00%,11,25.00%,Y
2014-2015,30,66597,3031697,Orange,Newport-Mesa Unified,Corona del Mar High,Unified School District,High Schools (Public),Traditional,,N,,,N,7,12,"2,557",142,5.60%,172,6.70%,"2,488",142,5.70%,172,6.90%,Y
2014-2015,30,66597,3031853,Orange,Newport-Mesa Unified,Costa Mesa High,Unified School District,High Schools (Public),Traditional,,N,,,N,7,12,"1,779","1,033",58.10%,"1,282",72.10%,"1,740","1,006",57.80%,"1,251",71.90%,Y
2014-2015,30,66597,3032000,Orange,Newport-Mesa Unified,Estancia High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,335",828,62.00%,957,71.70%,"1,244",777,62.50%,901,72.40%,Y
2014-2015,30,66597,3034907,Orange,Newport-Mesa Unified,Back Bay High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,175,106,60.60%,113,64.60%,157,94,59.90%,101,64.30%,Y
2014-2015,30,66597,3035045,Orange,Newport-Mesa Unified,Newport Harbor High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,355",721,30.60%,838,35.60%,"2,275",703,30.90%,816,35.90%,Y
2014-2015,30,66597,6029219,Orange,Newport-Mesa Unified,Abraham Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,620,64,10.30%,72,11.60%,618,64,10.40%,72,11.70%,Y
2014-2015,30,66597,6029227,Orange,Newport-Mesa Unified,Adams Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,P,6,427,325,76.10%,358,83.80%,422,323,76.50%,355,84.10%,Y
2014-2015,30,66597,6029268,Orange,Newport-Mesa Unified,California Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,430,138,32.10%,179,41.60%,427,136,31.90%,177,41.50%,Y
2014-2015,30,66597,6029284,Orange,Newport-Mesa Unified,Charles W. Tewinkle Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2                                       ,N,,,N,7,8,654,471,72.00%,535,81.80%,654,471,72.00%,535,81.80%,Y
2014-2015,30,66597,6029300,Orange,Newport-Mesa Unified,College Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,P,6,589,436,74.00%,514,87.30%,581,430,74.00%,508,87.40%,Y
2014-2015,30,66597,6029326,Orange,Newport-Mesa Unified,Everett A. Rea Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,P,6,502,346,68.90%,382,76.10%,498,345,69.30%,380,76.30%,Y
2014-2015,30,66597,6029334,Orange,Newport-Mesa Unified,Harbor View Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,P,6,429,29,6.80%,30,7.00%,422,29,6.90%,30,7.10%,Y
2014-2015,30,66597,6029359,Orange,Newport-Mesa Unified,Heinz Kaiser Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,3,6,681,175,25.70%,236,34.70%,681,175,25.70%,236,34.70%,Y
2014-2015,30,66597,6029367,Orange,Newport-Mesa Unified,Horace Ensign Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,"1,173",421,35.90%,487,41.50%,"1,173",421,35.90%,487,41.50%,Y
2014-2015,30,66597,6029375,Orange,Newport-Mesa Unified,Killybrooke Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,P,6,425,221,52.00%,277,65.20%,416,215,51.70%,270,64.90%,Y
2014-2015,30,66597,6029391,Orange,Newport-Mesa Unified,Mariners Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,P,6,742,78,10.50%,89,12.00%,733,78,10.60%,89,12.10%,Y
2014-2015,30,66597,6029409,Orange,Newport-Mesa Unified,Maude B. Davis Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,P,6,569,92,16.20%,124,21.80%,569,92,16.20%,124,21.80%,Y
2014-2015,30,66597,6029433,Orange,Newport-Mesa Unified,Newport Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,P,6,485,68,14.00%,77,15.90%,484,68,14.00%,77,15.90%,Y
2014-2015,30,66597,6029441,Orange,Newport-Mesa Unified,Newport Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,685,186,27.20%,214,31.20%,676,182,26.90%,210,31.10%,Y
2014-2015,30,66597,6029458,Orange,Newport-Mesa Unified,Paularino Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,P,6,444,244,55.00%,315,70.90%,433,240,55.40%,308,71.10%,Y
2014-2015,30,66597,6029466,Orange,Newport-Mesa Unified,Pomona Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,P,6,500,395,79.00%,439,87.80%,489,387,79.10%,431,88.10%,Y
2014-2015,30,66597,6029482,Orange,Newport-Mesa Unified,Sonora Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,P,6,527,341,64.70%,411,78.00%,513,332,64.70%,401,78.20%,Y
2014-2015,30,66597,6029490,Orange,Newport-Mesa Unified,Victoria Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,P,6,360,194,53.90%,231,64.20%,356,192,53.90%,229,64.30%,Y
2014-2015,30,66597,6029516,Orange,Newport-Mesa Unified,Whittier Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,P,6,729,615,84.40%,692,94.90%,714,601,84.20%,677,94.80%,Y
2014-2015,30,66597,6029524,Orange,Newport-Mesa Unified,Wilson Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,P,6,526,399,75.90%,440,83.70%,519,396,76.30%,434,83.60%,Y
2014-2015,30,66597,6068399,Orange,Newport-Mesa Unified,Eastbluff Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,398,41,10.30%,54,13.60%,397,40,10.10%,53,13.40%,Y
2014-2015,30,66597,6089460,Orange,Newport-Mesa Unified,Roy O. Andersen Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,370,8,2.20%,12,3.20%,370,8,2.20%,12,3.20%,Y
2014-2015,30,66597,6107833,Orange,Newport-Mesa Unified,Woodland Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,P,2,517,105,20.30%,134,25.90%,503,102,20.30%,128,25.40%,Y
2014-2015,30,66597,6118236,Orange,Newport-Mesa Unified,Newport Coast Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,P,6,595,17,2.90%,22,3.70%,591,16,2.70%,21,3.60%,Y
2014-2015,30,66613,1,Orange,Ocean View,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,4,0,0.00%,0,0.00%,4,0,0.00%,0,0.00%,Y
2014-2015,30,66613,6029540,Orange,Ocean View,Circle View Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,711,107,15.00%,129,18.10%,704,106,15.10%,127,18.00%,Y
2014-2015,30,66613,6029557,Orange,Ocean View,College View Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,461,210,45.60%,239,51.80%,451,206,45.70%,232,51.40%,Y
2014-2015,30,66613,6029581,Orange,Ocean View,Harbour View Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,794,145,18.30%,173,21.80%,789,143,18.10%,171,21.70%,Y
2014-2015,30,66613,6029607,Orange,Ocean View,Hope View Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,677,63,9.30%,89,13.10%,664,62,9.30%,88,13.30%,Y
2014-2015,30,66613,6029615,Orange,Ocean View,Lake View Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,312,162,51.90%,192,61.50%,312,162,51.90%,192,61.50%,Y
2014-2015,30,66613,6029631,Orange,Ocean View,Marine View Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,813,210,25.80%,239,29.40%,813,210,25.80%,239,29.40%,Y
2014-2015,30,66613,6029656,Orange,Ocean View,Oak View Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,709,650,91.70%,681,96.10%,688,629,91.40%,660,95.90%,Y
2014-2015,30,66613,6029698,Orange,Ocean View,Spring View Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,798,245,30.70%,303,38.00%,798,245,30.70%,303,38.00%,Y
2014-2015,30,66613,6029706,Orange,Ocean View,Star View Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,594,179,30.10%,258,43.40%,580,176,30.30%,255,44.00%,Y
2014-2015,30,66613,6029714,Orange,Ocean View,Sun View Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,242,155,64.00%,171,70.70%,242,155,64.00%,171,70.70%,Y
2014-2015,30,66613,6029722,Orange,Ocean View,Village View Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,555,102,18.40%,112,20.20%,548,101,18.40%,111,20.30%,Y
2014-2015,30,66613,6029730,Orange,Ocean View,Westmont Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,351,205,58.40%,245,69.80%,338,197,58.30%,235,69.50%,Y
2014-2015,30,66613,6066849,Orange,Ocean View,Mesa View Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,806,159,19.70%,186,23.10%,806,159,19.70%,186,23.10%,Y
2014-2015,30,66613,6068613,Orange,Ocean View,Vista View Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,698,357,51.10%,428,61.30%,698,357,51.10%,428,61.30%,Y
2014-2015,30,66613,6071104,Orange,Ocean View,Golden View Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,485,148,30.50%,178,36.70%,472,142,30.10%,171,36.20%,Y
2014-2015,30,66621,1,Orange,Orange Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,41,4,9.80%,4,9.80%,40,4,10.00%,4,10.00%,Y
2014-2015,30,66621,114769,Orange,Orange Unified,OUSD Community Day,Unified School District,District Community Day Schools,Community Day School,,N,,,N,7,12,28,18,64.30%,19,67.90%,24,16,66.70%,17,70.80%,Y
2014-2015,30,66621,118174,Orange,Orange Unified,OUSD Home Sch,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,K,12,83,13,15.70%,17,20.50%,73,11,15.10%,15,20.50%,Y
2014-2015,30,66621,3030046,Orange,Orange Unified,Canyon High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,338",197,8.40%,248,10.60%,"2,277",196,8.60%,247,10.80%,Y
2014-2015,30,66621,3031952,Orange,Orange Unified,El Modena High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,196",802,36.50%,921,41.90%,"2,117",774,36.60%,890,42.00%,Y
2014-2015,30,66621,3035409,Orange,Orange Unified,Orange High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,927","1,273",66.10%,"1,404",72.90%,"1,894","1,255",66.30%,"1,384",73.10%,Y
2014-2015,30,66621,3035748,Orange,Orange Unified,Richland Continuation High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,K,12,284,159,56.00%,171,60.20%,241,135,56.00%,146,60.60%,Y
2014-2015,30,66621,3038098,Orange,Orange Unified,Villa Park High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,475",598,24.20%,690,27.90%,"2,400",582,24.30%,673,28.00%,Y
2014-2015,30,66621,6029748,Orange,Orange Unified,California Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,654,571,87.30%,607,92.80%,638,557,87.30%,593,92.90%,Y
2014-2015,30,66621,6029755,Orange,Orange Unified,Cambridge Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,525,386,73.50%,421,80.20%,511,377,73.80%,412,80.60%,Y
2014-2015,30,66621,6029763,Orange,Orange Unified,Crescent Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,770,84,10.90%,101,13.10%,751,83,11.10%,100,13.30%,Y
2014-2015,30,66621,6029771,Orange,Orange Unified,Esplanade Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,422,355,84.10%,379,89.80%,422,355,84.10%,379,89.80%,Y
2014-2015,30,66621,6029789,Orange,Orange Unified,Fairhaven Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,587,445,75.80%,494,84.20%,575,433,75.30%,482,83.80%,Y
2014-2015,30,66621,6029797,Orange,Orange Unified,Fletcher Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,376,172,45.70%,192,51.10%,358,163,45.50%,183,51.10%,Y
2014-2015,30,66621,6029805,Orange,Orange Unified,Handy Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,562,498,88.60%,529,94.10%,543,484,89.10%,512,94.30%,Y
2014-2015,30,66621,6029821,Orange,Orange Unified,Jordan Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,438,373,85.20%,399,91.10%,422,362,85.80%,387,91.70%,Y
2014-2015,30,66621,6029854,Orange,Orange Unified,Lampson Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,846,625,73.90%,711,84.00%,832,615,73.90%,700,84.10%,Y
2014-2015,30,66621,6029862,Orange,Orange Unified,La Veta Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,846,381,45.00%,452,53.40%,846,381,45.00%,452,53.40%,Y
2014-2015,30,66621,6029870,Orange,Orange Unified,Olive Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,503,245,48.70%,286,56.90%,503,245,48.70%,286,56.90%,Y
2014-2015,30,66621,6029888,Orange,Orange Unified,Palmyra Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,512,335,65.40%,380,74.20%,502,330,65.70%,372,74.10%,Y
2014-2015,30,66621,6029896,Orange,Orange Unified,Panorama Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,414,52,12.60%,71,17.10%,414,52,12.60%,71,17.10%,Y
2014-2015,30,66621,6029912,Orange,Orange Unified,Prospect Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,464,339,73.10%,383,82.50%,445,326,73.30%,368,82.70%,Y
2014-2015,30,66621,6029920,Orange,Orange Unified,Canyon Hills,Unified School District,Special Education Schools (Public),Special Education School,,N,,,N,K,12,141,46,32.60%,53,37.60%,66,31,47.00%,34,51.50%,Y
2014-2015,30,66621,6029938,Orange,Orange Unified,Serrano Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,572,97,17.00%,122,21.30%,572,97,17.00%,122,21.30%,Y
2014-2015,30,66621,6029953,Orange,Orange Unified,Sycamore Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,443,323,72.90%,352,79.50%,443,323,72.90%,352,79.50%,Y
2014-2015,30,66621,6029961,Orange,Orange Unified,Taft Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,579,469,81.00%,503,86.90%,564,455,80.70%,489,86.70%,Y
2014-2015,30,66621,6029979,Orange,Orange Unified,Villa Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,645,62,9.60%,75,11.60%,645,62,9.60%,75,11.60%,Y
2014-2015,30,66621,6029987,Orange,Orange Unified,West Orange Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,480,285,59.40%,340,70.80%,462,275,59.50%,329,71.20%,Y
2014-2015,30,66621,6058937,Orange,Orange Unified,Cerro Villa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,"1,028",316,30.70%,375,36.50%,"1,028",316,30.70%,375,36.50%,Y
2014-2015,30,66621,6058945,Orange,Orange Unified,McPherson Magnet,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,891,137,15.40%,190,21.30%,891,137,15.40%,190,21.30%,Y
2014-2015,30,66621,6061725,Orange,Orange Unified,Portola Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,735,552,75.10%,623,84.80%,735,552,75.10%,623,84.80%,Y
2014-2015,30,66621,6061733,Orange,Orange Unified,Yorba Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,582,460,79.00%,497,85.40%,582,460,79.00%,497,85.40%,Y
2014-2015,30,66621,6071112,Orange,Orange Unified,Linda Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,483,65,13.50%,86,17.80%,483,65,13.50%,86,17.80%,Y
2014-2015,30,66621,6071120,Orange,Orange Unified,Nohl Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,557,34,6.10%,50,9.00%,557,34,6.10%,50,9.00%,Y
2014-2015,30,66621,6085328,Orange,Orange Unified,Santiago Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,66,Directly funded,N,7,8,967,502,51.90%,591,61.10%,967,502,51.90%,591,61.10%,Y
2014-2015,30,66621,6094874,Orange,Orange Unified,El Rancho Charter,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,445,Locally funded,N,7,8,"1,186",107,9.00%,135,11.40%,"1,186",107,9.00%,135,11.40%,Y
2014-2015,30,66621,6096333,Orange,Orange Unified,Imperial Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,491,42,8.60%,60,12.20%,478,42,8.80%,59,12.30%,Y
2014-2015,30,66621,6097364,Orange,Orange Unified,Anaheim Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,513,30,5.80%,34,6.60%,513,30,5.80%,34,6.60%,Y
2014-2015,30,66621,6107767,Orange,Orange Unified,Chapman Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,502,71,14.10%,86,17.10%,502,71,14.10%,86,17.10%,Y
2014-2015,30,66621,6114565,Orange,Orange Unified,Canyon Rim Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,692,64,9.20%,74,10.70%,670,63,9.40%,73,10.90%,Y
2014-2015,30,66621,6116586,Orange,Orange Unified,Running Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,695,43,6.20%,58,8.30%,678,42,6.20%,56,8.30%,Y
2014-2015,30,66647,1,Orange,Placentia-Yorba Linda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,15,1,6.70%,2,13.30%,13,1,7.70%,2,15.40%,Y
2014-2015,30,66647,102897,Orange,Placentia-Yorba Linda Unified,Melrose Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,628,585,93.20%,618,98.40%,614,571,93.00%,604,98.40%,Y
2014-2015,30,66647,109678,Orange,Placentia-Yorba Linda Unified,Lakeview Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,502,35,7.00%,42,8.40%,502,35,7.00%,42,8.40%,Y
2014-2015,30,66647,116525,Orange,Placentia-Yorba Linda Unified,Valadez Middle School Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,694,563,81.10%,650,93.70%,694,563,81.10%,650,93.70%,Y
2014-2015,30,66647,119404,Orange,Placentia-Yorba Linda Unified,Yorba Linda High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,768",134,7.60%,187,10.60%,"1,703",129,7.60%,182,10.70%,Y
2014-2015,30,66647,3030053,Orange,Placentia-Yorba Linda Unified,Esperanza High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,858",275,14.80%,427,23.00%,"1,760",253,14.40%,394,22.40%,Y
2014-2015,30,66647,3030483,Orange,Placentia-Yorba Linda Unified,La Entrada High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,9,12,59,6,10.20%,6,10.20%,54,6,11.10%,6,11.10%,Y
2014-2015,30,66647,3031929,Orange,Placentia-Yorba Linda Unified,El Dorado High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,904",350,18.40%,460,24.20%,"1,854",334,18.00%,443,23.90%,Y
2014-2015,30,66647,3031945,Orange,Placentia-Yorba Linda Unified,El Camino Real Continuation High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,190,101,53.20%,118,62.10%,142,79,55.60%,93,65.50%,Y
2014-2015,30,66647,3038023,Orange,Placentia-Yorba Linda Unified,Valencia High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,740","1,267",46.20%,"1,592",58.10%,"2,662","1,219",45.80%,"1,541",57.90%,Y
2014-2015,30,66647,6029995,Orange,Placentia-Yorba Linda Unified,Brookhaven Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,572,66,11.50%,84,14.70%,545,63,11.60%,80,14.70%,Y
2014-2015,30,66647,6030001,Orange,Placentia-Yorba Linda Unified,Charles Wagner Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,470,105,22.30%,123,26.20%,470,105,22.30%,123,26.20%,Y
2014-2015,30,66647,6030019,Orange,Placentia-Yorba Linda Unified,Col. J. K. Tuffree Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,727,197,27.10%,246,33.80%,727,197,27.10%,246,33.80%,Y
2014-2015,30,66647,6030027,Orange,Placentia-Yorba Linda Unified,Glenknoll Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,507,58,11.40%,81,16.00%,507,58,11.40%,81,16.00%,Y
2014-2015,30,66647,6030035,Orange,Placentia-Yorba Linda Unified,Golden Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,806,59,7.30%,80,9.90%,806,59,7.30%,80,9.90%,Y
2014-2015,30,66647,6030043,Orange,Placentia-Yorba Linda Unified,Kraemer Middle,Unified School District,Junior High Schools (Public),Traditional,,N,,,N,7,8,952,406,42.60%,501,52.60%,952,406,42.60%,501,52.60%,Y
2014-2015,30,66647,6030050,Orange,Placentia-Yorba Linda Unified,Morse Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,471,249,52.90%,308,65.40%,471,249,52.90%,308,65.40%,Y
2014-2015,30,66647,6030076,Orange,Placentia-Yorba Linda Unified,Rio Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,915,669,73.10%,808,88.30%,906,662,73.10%,801,88.40%,Y
2014-2015,30,66647,6030084,Orange,Placentia-Yorba Linda Unified,Ruby Drive Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,379,295,77.80%,354,93.40%,379,295,77.80%,354,93.40%,Y
2014-2015,30,66647,6030092,Orange,Placentia-Yorba Linda Unified,Sierra Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,491,84,17.10%,114,23.20%,491,84,17.10%,114,23.20%,Y
2014-2015,30,66647,6030100,Orange,Placentia-Yorba Linda Unified,Van Buren Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,689,154,22.40%,188,27.30%,661,148,22.40%,182,27.50%,Y
2014-2015,30,66647,6030936,Orange,Placentia-Yorba Linda Unified,Mabel M. Paine Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,457,87,19.00%,117,25.60%,436,82,18.80%,111,25.50%,Y
2014-2015,30,66647,6030951,Orange,Placentia-Yorba Linda Unified,Rose Drive Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,418,77,18.40%,94,22.50%,413,76,18.40%,93,22.50%,Y
2014-2015,30,66647,6030969,Orange,Placentia-Yorba Linda Unified,Yorba Linda Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,922,138,15.00%,178,19.30%,922,138,15.00%,178,19.30%,Y
2014-2015,30,66647,6068621,Orange,Placentia-Yorba Linda Unified,Bernardo Yorba Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,643,114,17.70%,167,26.00%,643,114,17.70%,167,26.00%,Y
2014-2015,30,66647,6071146,Orange,Placentia-Yorba Linda Unified,Fairmont Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,861,66,7.70%,86,10.00%,837,66,7.90%,86,10.30%,Y
2014-2015,30,66647,6085633,Orange,Placentia-Yorba Linda Unified,Topaz Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,568,467,82.20%,533,93.80%,556,461,82.90%,524,94.20%,Y
2014-2015,30,66647,6085641,Orange,Placentia-Yorba Linda Unified,Glenview Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,364,136,37.40%,183,50.30%,364,136,37.40%,183,50.30%,Y
2014-2015,30,66647,6089478,Orange,Placentia-Yorba Linda Unified,George Key,Unified School District,Special Education Schools (Public),Special Education School,,N,,,N,K,6,59,13,22.00%,14,23.70%,50,12,24.00%,13,26.00%,Y
2014-2015,30,66647,6095160,Orange,Placentia-Yorba Linda Unified,Linda Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,463,36,7.80%,51,11.00%,463,36,7.80%,51,11.00%,Y
2014-2015,30,66647,6097000,Orange,Placentia-Yorba Linda Unified,Woodsboro Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,582,105,18.00%,143,24.60%,582,105,18.00%,143,24.60%,Y
2014-2015,30,66647,6097018,Orange,Placentia-Yorba Linda Unified,John O. Tynes Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,824,507,61.50%,580,70.40%,805,495,61.50%,566,70.30%,Y
2014-2015,30,66647,6106009,Orange,Placentia-Yorba Linda Unified,Travis Ranch,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,"1,334",94,7.00%,128,9.60%,"1,321",94,7.10%,128,9.70%,Y
2014-2015,30,66647,6109102,Orange,Placentia-Yorba Linda Unified,Bryant Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,568,58,10.20%,73,12.90%,559,58,10.40%,73,13.10%,Y
